Data Type     Size(byte)    Algorithm         Execution Time(ms)
best          512           Brute-Force       0.0031000000000336314
best          512           Rabin-Karp        0.005699999999997374
best          512           KMP               0.004099999999951365
best          512           Aho-Corasick      0.002300000000010627
best          512           Z-function        0.07750000000006363
random        512           Brute-Force       0.017700000000009375
random        512           Rabin-Karp        0.08730000000001237
random        512           KMP               0.02270000000004213
random        512           Aho-Corasick      0.02430000000008814
random        512           Z-function        0.0794999999998991
worst         512           Brute-Force       0.024799999999935984
worst         512           Rabin-Karp        0.12129999999999086
worst         512           KMP               0.031200000000009
worst         512           Aho-Corasick      0.03430000000004263
worst         512           Z-function        0.08359999999996148
best          1024          Brute-Force       0.0008000000000230045
best          1024          Rabin-Karp        0.0026000000000747647
best          1024          KMP               0.0022000000000632625
best          1024          Aho-Corasick      0.001400000000040258
best          1024          Z-function        0.14459999999993922
random        1024          Brute-Force       0.02179999999996074
random        1024          Rabin-Karp        0.10730000000003237
random        1024          KMP               0.02740000000001075
random        1024          Aho-Corasick      0.030599999999991745
random        1024          Z-function        0.155200000000022
worst         1024          Brute-Force       0.049300000000029875
worst         1024          Rabin-Karp        0.23570000000006086
worst         1024          KMP               0.05940000000004275
worst         1024          Aho-Corasick      0.06899999999998574
worst         1024          Z-function        0.16289999999996585
